Case #,CWE,CVE,Outcome,Compiled,Vulnerable Hits,Patched Hits,Actual Vulnerability Mechanism,Query Security Property,Concrete Mismatch,New Root Cause Category,Category Rationale,Confidence,Same-CWE Generic Template Candidate,Same-CWE Template Pattern,Template Collapse Evidence,Semantic Alignment Status,Evidence Status
11,CWE-284,CVE-2016-4464,DETECTION_FAILURE,True,0,0,"Apache CXF Fediz accepted a correctly signed SAML token without verifying that its AudienceRestriction matched the configured audience URI, allowing a token intended for a different audience to bypass restrictions.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,"The query checks whether a web endpoint has an authorization annotation or recognizable authorization call. It does not model SAML token audience validation, which is the concrete security check separating valid from invalid authentication context.",Missing validation semantics,The critical omitted semantic is validation of the token's audience claim against the configured audience.,HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",SAML audience-validation semantics are collapsed into a generic missing-endpoint-authorization abstraction.,,
12,CWE-284,CVE-2016-5388,DETECTION_FAILURE,True,0,0,"Tomcat's CGI handling allowed an untrusted HTTP Proxy header to populate the HTTP_PROXY environment variable, which could redirect outbound HTTP traffic through an attacker-chosen proxy.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,The generated query searches for web endpoints invoking sensitive methods without explicit authorization. The actual mechanism is trust propagation from an HTTP header into a CGI environment variable that later controls outbound proxy behavior.,Wrong vulnerability mechanism,"The query models access-control checks, while the advisory describes an input-trust/environment propagation issue.",HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",HTTP-header-to-environment proxy trust is forced into the same generic CWE-284 authorization template.,,
13,CWE-284,CVE-2016-6802,DETECTION_FAILURE,True,0,0,"Apache Shiro could be bypassed when an application used a non-root servlet context path, causing intended servlet-filter restrictions not to apply correctly to protected requests.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,The query treats access control as the presence or absence of explicit annotations or authorization calls inside an endpoint. It does not model the request path/context-path relationship that determines whether the security filter is applied.,Missing relational/contextual semantics,The vulnerability depends on contextual path/filter matching rather than a missing authorization call in the endpoint.,HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",Servlet context-path/filter semantics are collapsed into generic endpoint authorization.,,
14,CWE-284,CVE-2020-35497,DETECTION_FAILURE,True,0,0,An authenticated oVirt user could read other users' personal information. The security boundary depends on the relationship between the authenticated user and the user/resource being accessed.,A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,The generated query checks only whether a web endpoint performs a sensitive operation without an explicit authorization marker. It does not represent the identity/ownership relation needed to distinguish access to one's own information from access to another user's information.,Missing relational/contextual semantics,This is a relational authorization property between requester identity and target resource owner.,HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",Per-user ownership/identity semantics are flattened into the generic missing-authorization endpoint template.,,
15,CWE-284,CVE-2020-5242,DETECTION_FAILURE,True,0,0,The frozen TRAIN evidence does not contain an advisory or sufficient vulnerable/patched-code detail to establish the concrete vulnerability mechanism.,A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,"Because the actual mechanism cannot be established from the retained TRAIN evidence, the mismatch between the generated endpoint-authorization query and the real vulnerability cannot be determined reliably.",Insufficient evidence / unclear,"The supervisor taxonomy requires mechanism-level comparison, but the frozen evidence is insufficient.",HIGH,UNDETERMINED,"web endpoint -> sensitive operation, with no explicit authorization evidence",No template-collapse conclusion is assigned for this case because the actual mechanism is unavailable.,,
16,CWE-284,CVE-2021-26118,DETECTION_FAILURE,True,0,0,"Apache ActiveMQ Artemis created OpenWire advisory messages without applying the policy-based access control that should govern message production, effectively bypassing access control for the session.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,"The generated query assumes access control is an annotation or authorization call in a public web endpoint. It does not model protocol-session state, advisory-message type, or the policy relationship determining whether that message may be produced.",Missing relational/contextual semantics,The missing security property is protocol/session-specific policy enforcement rather than endpoint-local authorization.,HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",OpenWire session/message-policy context is collapsed into generic web-endpoint authorization.,,
17,CWE-284,CVE-2023-24425,DETECTION_FAILURE,True,0,0,"The Jenkins Kubernetes Credentials Provider performed credential lookup without the appropriate context, allowing a user with Item/Configure permission to access credentials outside the scope they were entitled to.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,"The query checks for explicit authorization around sensitive calls but does not represent the lookup context, credential scope, or relationship between the current item/user and the credentials that may be accessed.",Missing relational/contextual semantics,The vulnerability is determined by credential-scope and lookup-context relationships.,HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",Credential lookup scope/context is flattened into generic endpoint authorization.,,
18,CWE-284,CVE-2023-26471,DETECTION_FAILURE,True,0,0,"XWiki intended comments to execute with superadmin rights only under restricted mode, but the async macro failed to preserve that restriction, allowing a user with comment rights to execute dangerous wiki/Groovy content with superadmin privileges.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,The final query searches for web endpoints lacking explicit authorization checks. The actual mechanism depends on propagation of restricted execution mode and privilege context across the async macro boundary.,Missing relational/contextual semantics,The critical property is preservation of execution/privilege context across asynchronous evaluation.,HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",Restricted-mode and privilege-propagation semantics are collapsed into generic endpoint authorization.,,
19,CWE-284,CVE-2023-36820,DETECTION_FAILURE,True,0,0,"Micronaut's ID token validator skipped audience validation when a token came from the same issuer, allowing a token intended for another application/client under that issuer to be accepted.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,The generated query searches for explicit authorization checks in web endpoints but does not model OIDC issuer/audience/client relationships or the required validation that audiences contain the current client ID.,Missing validation semantics,The omitted security mechanism is explicit audience-claim validation in token verification.,HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",OIDC audience validation is collapsed into the same generic endpoint-authorization template.,,
20,CWE-284,CVE-2023-40573,DETECTION_FAILURE,True,0,0,"XWiki authorized scheduled Groovy jobs using the document content author's programming right, even though an attacker with edit rights could modify or add the job script without changing that content author. This allowed attacker-controlled code to execute under another user's programming privilege.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,"The query looks for missing explicit authorization in web endpoints. It does not model the relationship between script modifier, stored content author, programming right, scheduled job, and the identity whose privilege is used when the script executes.",Missing relational/contextual semantics,"The vulnerability depends on a mismatch between author identity, modifier identity, and execution privilege.",HIGH,YES,"web endpoint -> sensitive operation, with no explicit authorization evidence",Author/modifier/execution-right relationships are flattened into generic web-endpoint authorization.,,
21,CWE-284,CVE-2023-44794,DETECTION_FAILURE,True,0,0,"The retained advisory states only that a crafted URL can cause privilege escalation in SaToken, but does not provide enough mechanism-level detail to identify the concrete security check or context that fails.",A public web-exposed endpoint that invokes a name-matched sensitive operation should contain an explicit security annotation or an authorization-check call.,"The available evidence is too sparse to determine whether the generated web-endpoint authorization template models the wrong mechanism, omits part of the mechanism, or misses a contextual/validation semantic.",Insufficient evidence / unclear,Mechanism-level classification would require evidence not present in the frozen TRAIN record.,HIGH,UNDETERMINED,"web endpoint -> sensitive operation, with no explicit authorization evidence",No template-collapse conclusion is assigned because the advisory is too underspecified.,,
22,CWE-434,CVE-2017-12617,DISCRIMINATION_FAILURE,True,9,9,"With HTTP PUT enabled, Apache Tomcat could accept a specially crafted request that caused a JSP file to be written to the server and later executed. The retained analysis indicates that the fix changes path-resolution validation rather than eliminating the underlying file-write operation.","User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","The generated query captures the broad request-to-filesystem-write behavior, but it does not model the path-resolution validation that distinguishes the fixed implementation. Therefore the generic taint path remains present in both vulnerable and patched revisions.",Missing validation semantics,"The vulnerable behavior is broadly represented, but the path validation introduced by the fix is missing.",HIGH,YES,request/upload filename -> filesystem write or move,A path-resolution-specific upload vulnerability is represented only as generic request-to-filesystem taint.,,
23,CWE-434,CVE-2020-13128,DETECTION_FAILURE,True,0,0,GWTUpload accepted a user-controlled delay parameter that caused the upload servlet thread to sleep. Repeated abuse could exhaust server threads and cause denial of service.,"User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","The query searches for request/upload filename data reaching filesystem writes, while the actual vulnerability is resource exhaustion caused by a user-controlled delay parameter. No file-write security property is required for exploitation.",Wrong vulnerability mechanism,The generated upload-taint property is unrelated to the actual delay/resource-exhaustion mechanism.,HIGH,YES,request/upload filename -> filesystem write or move,A resource-exhaustion vulnerability grouped under CWE-434 is forced into the generic file-upload template.,,
24,CWE-434,CVE-2021-21245,DISCRIMINATION_FAILURE,True,1,1,Uploaded or request-derived filenames were used in attachment/blob handling without the filename sanitization later introduced by FilenameUtils.sanitizeFilename.,"User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","The query correctly models user-controlled filename data reaching upload/filesystem handling, but it does not recognize FilenameUtils.sanitizeFilename as a sanitization barrier. Consequently the same flow is reported in both vulnerable and patched revisions.",Missing validation semantics,"The broad mechanism is correct, but the concrete filename sanitization that separates fixed from vulnerable code is absent from the CodeQL model.",HIGH,YES,request/upload filename -> filesystem write or move,Filename-sanitization semantics are flattened into generic upload-to-filesystem taint.,,
25,CWE-434,CVE-2021-45790,DETECTION_FAILURE,True,0,7,Metersphere allowed unauthenticated users to reach an arbitrary-file-upload resource because the Shiro configuration exposed the relevant /resource/** scope anonymously. The fix narrows anonymous access to a specific resource path.,"User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","The generated query models filename/request data flowing to a filesystem write, but the decisive security property is whether the upload/resource endpoint is authorized for the requester. The query therefore looks for the wrong mechanism.",Wrong vulnerability mechanism,"The vulnerability is caused by endpoint authorization scope, not by existence of an upload-to-filesystem flow.",HIGH,YES,request/upload filename -> filesystem write or move,Authorization of the upload endpoint is collapsed into a generic filename-to-filesystem template.,,
26,CWE-434,CVE-2021-45808,DETECTION_FAILURE,True,0,0,"The advisory identifies arbitrary file upload by registered JPress users, but the retained canonical Java patch evidence does not expose a localized upload-security change.","User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","The query models generic upload-to-filesystem flow, but the retained TRAIN evidence is insufficient to identify the concrete security mechanism fixed by the patch and therefore insufficient to determine the exact semantic mismatch.",Insufficient evidence / unclear,"The advisory describes the outcome, but the retained patch evidence does not establish the specific mechanism.",HIGH,UNDETERMINED,request/upload filename -> filesystem write or move,No reliable template-collapse conclusion is assigned because the concrete patch mechanism is not localized.,,
27,CWE-434,CVE-2021-46115,DETECTION_FAILURE,True,0,0,"The advisory describes remote code execution through JPress _TemplateController#doUploadFile, where malicious template content can be uploaded. The retained canonical patch evidence does not expose a clear security fix for that upload path.","User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","Although the generic query targets upload-to-filesystem flow, the available TRAIN evidence does not show which source, validation step, authorization condition, content restriction, or other mechanism was actually repaired.",Insufficient evidence / unclear,The concrete semantic mismatch cannot be established reliably from the retained evidence.,HIGH,UNDETERMINED,request/upload filename -> filesystem write or move,"The generic template exists, but there is insufficient retained mechanism evidence to judge collapse for this case.",,
28,CWE-434,CVE-2021-46116,DETECTION_FAILURE,True,0,0,"The advisory describes remote code execution through JPress _TemplateController#doInstall, where malicious template code can be installed. The retained canonical Java patch evidence does not expose a localized template-install security fix.","User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","The generated query assumes the problem is request/upload data reaching a filesystem write, but the retained evidence is insufficient to determine which concrete install-time security property was fixed.",Insufficient evidence / unclear,A mechanism-level category stronger than insufficient evidence would be speculative.,HIGH,UNDETERMINED,request/upload filename -> filesystem write or move,"The generic template exists, but the real repaired mechanism cannot be established from retained evidence.",,
29,CWE-434,CVE-2022-27047,STRICT_SUCCESS,True,1,0,Mogu Blog CMS allowed arbitrary files to be uploaded without adequate limitation. The broad vulnerable behavior is therefore unrestricted user-controlled upload reaching server-side storage.,"User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","No failure mismatch is demonstrated by the metric result: the generated upload-to-filesystem property produced a vulnerable hit and no patched hit. The retained evidence supports broad alignment, although it does not justify a more specific failure-root-cause classification.",N/A - semantically aligned strict success,The retained evidence supports alignment between the actual unrestricted-upload mechanism and the generated upload-to-filesystem security property. No semantic failure root cause is established.,HIGH,ALIGNED,request/upload filename -> filesystem write or move,The actual broad unrestricted-upload mechanism is consistent with the generic query abstraction.,,
30,CWE-434,CVE-2022-27477,STRICT_SUCCESS,True,2,0,"Newbee-Mall exposed an arbitrary file upload through the /admin/goods/edit upload functionality. The retained code confirms MultipartFile-based upload handling, but the exact patch security mechanism is not sufficiently detailed in the retained evidence.","User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","The query achieved 2 vulnerable hits and 0 patched hits, but the retained evidence does not establish whether the disappearing flow corresponds exactly to the same semantic mechanism repaired by the patch. Metric success therefore cannot be treated as proof of semantic equivalence.",Insufficient evidence / unclear,"The query is metrically successful, but the retained TRAIN evidence does not establish the exact patch-level security mechanism strongly enough to determine semantic alignment. Under the supervisor taxonomy, this is therefore classified as insufficient evidence rather than assigning a more specific mismatch category.",HIGH,UNDETERMINED,request/upload filename -> filesystem write or move,"The generic query succeeds metrically, but the exact repaired security property is not sufficiently localized to determine whether generic-template collapse occurred.",,
31,CWE-434,CVE-2023-40183,DISCRIMINATION_FAILURE,True,5,5,The upload path was strengthened by requiring the original filename to match an allowlisted image extension in addition to successfully parsing as an image.,"User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","The generated query captures upload/request data reaching filesystem operations, but it does not model the extension allowlist as a validation barrier. Therefore the same five generic upload flows remain in both vulnerable and patched revisions.",Missing validation semantics,The query captures the vulnerable behavior broadly but omits the specific file-extension validation that separates patched from vulnerable behavior.,HIGH,YES,request/upload filename -> filesystem write or move,Extension/content validation is reduced to generic upload-to-filesystem taint.,,
32,CWE-434,CVE-2023-41009,STRICT_SUCCESS,True,2,0,The advisory describes a file-upload vulnerability in bolo-solo in which a crafted script supplied through the Authorization header could lead to arbitrary code execution.,"User-controlled HTTP/request or multipart filename data should not flow into filesystem write, move, transfer, or file-path operations.","The generated query can treat request headers as sources and achieved 2 vulnerable hits and 0 patched hits, but the retained Java diff contains only added lines and does not provide enough mechanism-level evidence to prove that the detected flow is exactly the security mechanism repaired by the patch.",Insufficient evidence / unclear,"The strict metric succeeds, but the retained Java diff is add-only and does not provide enough mechanism-level evidence to prove that the disappearing CodeQL flow corresponds to the repaired security mechanism. The semantic relationship is therefore unclear.",HIGH,UNDETERMINED,request/upload filename -> filesystem write or move,"The query succeeds metrically, but retained evidence is insufficient to determine whether this is genuine mechanism alignment or incidental discrimination.",,
33,CWE-639,CVE-2020-23449,DISCRIMINATION_FAILURE,True,22,22,Newbee-Mall trusted a user identifier supplied through the update request when selecting which user record to modify. The patch instead obtains the authenticated user's identity from the HTTP session and uses that identity to select the update target.,A user-controlled request identifier should not flow into an identifier-like parameter of a resource access or modification method.,"The query detects user-controlled identifiers reaching ID-like resource operations, but the actual security property is relational: the target user must be the same user as the authenticated session identity. Generic identifier taint alone cannot express that ownership relation.",Missing relational/contextual semantics,The missing information is the relationship between requested target identity and authenticated session identity.,HIGH,YES,user-controlled ID -> ID-like resource access/modification parameter,A requester-to-target identity relation is reduced to generic user-controlled-ID taint.,,
34,CWE-639,CVE-2021-4142,DISCRIMINATION_FAILURE,True,344,344,Candlepin could accept an Entitlement or SCA certificate for authentication where an Identity certificate was required. The patch inspects certificate OID extensions and rejects invalid certificate types.,A user-controlled request identifier should not flow into an identifier-like parameter of a resource access or modification method.,"The generated query searches for request identifiers reaching ID-like resource operations. The actual vulnerability concerns authentication credential type and certificate validation, which is a different security property.",Wrong vulnerability mechanism,The query models IDOR-style resource identifiers while the vulnerability is certificate-type authentication.,HIGH,YES,user-controlled ID -> ID-like resource access/modification parameter,Certificate authentication is incorrectly collapsed into the generic CWE-639 identifier-flow template.,,
35,CWE-639,CVE-2023-2260,DISCRIMINATION_FAILURE,True,683,688,"Alf.io administrative operations did not consistently carry the authenticated Principal into organization, user, API-key, password, and related operations. The patch propagates Principal so authorization decisions can be evaluated against the acting subject and target scope.",A user-controlled request identifier should not flow into an identifier-like parameter of a resource access or modification method.,"The query tracks user-controlled identifiers into ID-like parameters, but it does not model the relationship among the authenticated Principal, organization scope, target resource, and permitted operation.",Missing relational/contextual semantics,"The security decision depends on acting subject and resource/organization scope, not merely identifier taint.",HIGH,YES,user-controlled ID -> ID-like resource access/modification parameter,Principal-to-organization/resource authorization context is flattened into generic ID flow.,,
36,CWE-639,CVE-2023-30216,DETECTION_FAILURE,True,0,0,Newbee-Mall's updateUserInfo behavior could expose another user's account information because the relevant user object was selected through an externally influenced user ID rather than being strictly bound to the authenticated user's session identity.,A user-controlled request identifier should not flow into an identifier-like parameter of a resource access or modification method.,"The query looks only for request identifiers reaching ID-like methods. The actual security property requires relating the authenticated session user, selected user record, and the user whose data is returned.",Missing relational/contextual semantics,The generic source/sink model omits ownership and session-identity relationships.,HIGH,YES,user-controlled ID -> ID-like resource access/modification parameter,Session ownership semantics are reduced to a generic identifier-flow template.,,
37,CWE-639,CVE-2023-32310,DISCRIMINATION_FAILURE,True,156,156,"DataEase allowed a requester to replace a dashboard-share or message identifier with another user's identifier and delete or modify that other user's resource. The security requirement is that the requested dashboard/message belongs to, or is authorized for, the authenticated requester.",A user-controlled request identifier should not flow into an identifier-like parameter of a resource access or modification method.,"The query captures the existence of a user-controlled identifier flowing into a resource operation, but it does not express the ownership relation between authenticated requester and dashboard/message. Therefore the same generic ID flows remain even when proper ownership enforcement is present.",Missing relational/contextual semantics,This is a classic requester-to-resource ownership property that cannot be represented by ID taint alone.,MEDIUM_HIGH,YES,user-controlled ID -> ID-like resource access/modification parameter,The actual IDOR ownership check is collapsed into generic user-controlled-ID flow.,,
38,CWE-639,CVE-2023-43668,STRICT_SUCCESS,True,446,0,Apache InLong could allow sensitive JDBC parameter checks to be bypassed through user-controlled parameter keys such as autoDeserialize and allowLoadLocalInfile. The patch changes the filtering/replacement logic applied to those sensitive parameter keys.,A user-controlled request identifier should not flow into an identifier-like parameter of a resource access or modification method.,"The generated query models IDOR-style flow from a user-controlled resource identifier into an ID-like resource operation. The actual vulnerability is sensitive JDBC parameter-key filtering, which is a different security mechanism. Although the query achieved 446/0 strict metric success, the semantic mechanism does not align with the vulnerability.",Wrong vulnerability mechanism,"The strict hit-based result is successful, but the query models a different security property from the patch; this is a metric success with semantic mismatch.",HIGH,YES,user-controlled ID -> ID-like resource access/modification parameter,"Sensitive configuration-key filtering is collapsed into the same generic CWE-639 IDOR template, showing that hit-based success can occur despite semantic template mismatch.",,
39,CWE-639,CVE-2023-44981,DETECTION_FAILURE,True,0,0,ZooKeeper quorum SASL authorization could be skipped when the instance component of the SASL authentication ID was absent. This allowed an unauthorized endpoint to join the quorum and gain cluster-level read/write capability.,A user-controlled request identifier should not flow into an identifier-like parameter of a resource access or modification method.,The generated query searches for user-controlled resource identifiers flowing into ID-like access methods. The actual mechanism is conditional SASL peer authentication/authorization based on the structure of the authentication identity and quorum configuration.,Wrong vulnerability mechanism,The final query models an IDOR-style resource-access property unrelated to the quorum SASL authorization bypass.,HIGH,YES,user-controlled ID -> ID-like resource access/modification parameter,SASL quorum-peer authorization is incorrectly collapsed into generic resource-identifier taint.,,
